transaction_id,customer_id,transaction_date,amount,merchant_category,location,device_type,hour,day_of_week,is_weekend,avg_amount,std_amount,transaction_count,is_fraud,risk_score
1,4174,2025-09-28 01:18:01.443031,49.81683304268637,Travel,Domestic,POS,1,6,1,30.258320858834622,16.95629680266012,3,0,25
2,4507,2025-08-07 18:44:53.443031,30.40810144761503,Gas Station,Domestic,Online,18,3,0,102.26722730375215,69.61392405911148,4,0,0
3,1860,2025-07-30 09:36:26.443031,32.89067558778896,Travel,Domestic,POS,9,2,0,40.25382548753803,10.413066450011227,2,0,0
4,2294,2025-10-07 23:15:57.443031,70.89473372868666,Retail,Domestic,POS,23,1,0,69.82035664269452,25.28120553409192,3,0,0
5,2130,2025-08-23 16:11:34.443031,16.5586002765583,Restaurant,Domestic,POS,16,5,1,37.39512504030744,29.467295913616887,2,0,10
6,2095,2025-08-20 17:58:02.443031,19.139185224449946,Restaurant,Domestic,Online,17,2,0,13.033995023644824,8.634042782845922,2,0,0
7,4772,2025-08-18 15:26:48.443031,129.27512083135065,Retail,Domestic,Online,15,0,0,95.30049531915466,48.04737617589451,2,0,0
8,4092,2025-08-10 12:28:29.443031,2.8933370772913336,Restaurant,International,Online,12,6,1,21.860573729528713,26.82372331433416,2,0,30
9,2638,2025-10-07 11:25:49.443031,33.24103924119852,Gas Station,International,POS,11,1,0,35.093017451625514,22.213590905493326,4,0,20
10,3169,2025-08-06 22:09:32.443031,121.97800635492851,Retail,Domestic,POS,22,2,0,69.05039128640446,42.417638137774496,7,0,0
11,1466,2025-10-01 16:09:07.443031,47.126988129455,Online,International,Mobile,16,2,0,47.126988129455,,1,0,20
12,2238,2025-10-07 21:12:32.443031,39.52775611979838,Gas Station,International,Online,21,1,0,63.73192378302101,36.53767174774581,3,0,20
13,1330,2025-10-22 14:15:25.443031,14.367051812518891,Restaurant,Domestic,Online,14,2,0,20.657091058964138,6.910890905018591,3,0,0
14,2482,2025-09-18 22:07:27.443031,21.024533103929677,Travel,Domestic,Online,22,3,0,21.710361627782785,3.5871574755664857,3,0,0
15,3135,2025-08-05 09:54:36.443031,95.54350962767269,Online,Domestic,POS,9,1,0,60.24609041374359,37.27459760230171,4,0,0
16,4444,2025-09-23 07:16:31.443031,40.960257788272166,Online,Domestic,Mobile,7,1,0,32.51680993927033,7.32674477347872,3,0,0
17,4171,2025-09-06 22:28:37.443031,36.153748500393164,Grocery,International,Online,22,5,1,57.63831406672015,21.423470441478816,4,0,30
18,3919,2025-07-31 01:23:13.443031,5.24468198529216,Grocery,Domestic,Online,1,3,0,64.75190098557623,45.161436714907424,4,0,15
19,4735,2025-07-30 20:45:38.443031,0.8078998311470881,Retail,Domestic,Mobile,20,2,0,16.378262196357078,21.242438218068237,6,0,0
20,1130,2025-08-06 01:39:13.443031,165.77647978903974,Travel,Domestic,POS,1,2,0,88.15808388507173,69.10425345999438,3,0,15
21,2685,2025-08-18 04:47:29.443031,23.659327852463406,Retail,Domestic,Online,4,0,0,23.659327852463406,,1,0,15
22,4380,2025-08-19 13:28:02.443031,46.217791135539464,Retail,Domestic,Mobile,13,1,0,65.31544092869892,13.65518536310291,4,0,0
23,1769,2025-09-15 00:53:28.443031,4.153597691492223,Online,International,POS,0,0,0,67.97677628210572,81.0673605912977,5,0,35
24,3391,2025-09-24 10:08:00.443031,57.460704644722796,Online,Domestic,POS,10,2,0,52.67717446477698,6.764933256500382,2,0,0
25,2515,2025-07-30 13:09:40.443031,134.8308223448412,Travel,International,Online,13,2,0,90.1587044058714,42.2923069141105,3,0,20
26,4485,2025-09-20 11:07:25.443031,42.861631879595805,Gas Station,Domestic,POS,11,5,1,28.235759190695056,16.027555575068764,5,0,10
27,3853,2025-08-16 06:39:12.443031,6.740342991521535,Grocery,Domestic,Mobile,6,5,1,62.12991372642358,56.010058375434674,5,0,10
28,3433,2025-10-05 11:46:28.443031,43.58039330275023,Gas Station,Domestic,POS,11,6,1,114.3666086743231,127.44915337357541,5,0,10
29,2215,2025-09-29 01:40:06.443031,72.6959541128578,Online,International,Online,1,0,0,115.69574960576256,68.52057340261914,5,1,35
30,1955,2025-10-04 01:32:01.443031,26.078872281344022,Gas Station,Domestic,POS,1,5,1,13.49999615324138,8.716688557418777,4,0,25
31,3324,2025-09-18 21:08:01.443031,105.94561744885316,Grocery,Domestic,POS,21,3,0,41.80010281027546,36.57376866669227,7,0,0
32,2184,2025-09-06 16:52:48.443031,52.30330982140459,Gas Station,Domestic,Mobile,16,5,1,41.445975167722416,34.35422888766205,8,1,10
33,1459,2025-08-18 08:59:30.443031,114.75511708146917,Travel,International,Online,8,0,0,47.48224373452336,39.37591367677832,6,0,20
34,4385,2025-09-09 14:03:39.443031,48.8425669370165,Grocery,Domestic,POS,14,1,0,38.84013303736105,28.518376457775638,4,0,0
35,1021,2025-09-23 04:24:59.443031,7.037179592046167,Retail,Domestic,POS,4,1,0,41.14018953991565,64.47936857117601,6,0,15
36,3300,2025-08-23 23:33:33.443031,18.53084928372473,Gas Station,Domestic,Online,23,5,1,58.72088051897332,49.37410436264724,7,0,10
37,1747,2025-10-14 13:26:15.443031,11.269487873151105,Travel,Domestic,Mobile,13,1,0,18.80696463094443,10.65960185694331,2,0,0
